uid,namedLocation,domainID,siteID,plotID,plotType,collectDate,sampleID,cnSampleID,analysisDate,sampleType,d15N,d13C,cnIsotopeQF,isotopeAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"744a6cf5-cf8a-4a2b-9abc-f61c5eae55f7","GRSM_006.basePlot.cfc","D07","GRSM","GRSM_006","distributed","2016-06-06T13:40Z","njZEDkTA4mgiARK+2lMt1XKieVoTXptHM32tPh7lGWw=","njZEDkTA4mgiARK+2lMt1XKieVoTXptHMQZx2XLz6BE=","2016-08-24","vegetation",-6.4,-27.7,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"3e1813df-5107-4935-b893-072bfd0c5654","GRSM_006.basePlot.cfc","D07","GRSM","GRSM_006","distributed","2016-06-06T14:10Z","njZEDkTA4mgZIetQ+caMIxKyGdrz/cE/iov51c01Qd4=","njZEDkTA4mgZIetQ+caMIxKyGdrz/cE/BcvtVTzaQ+A=","2016-08-24","vegetation",-4.0,-26.3,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"c7540e01-d0d2-4557-aa5e-5015c3d6147c","GRSM_006.basePlot.cfc","D07","GRSM","GRSM_006","distributed","2016-06-06T14:35Z","njZEDkTA4mhXBrbFJl/Bv/8VHIpZkxCb/z3lVdZ/1cQ=","njZEDkTA4mhXBrbFJl/Bv/8VHIpZkxCb5kX/IzmBqgg=","2016-08-24","vegetation",-5.3,-29.6,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"bc7d6d9c-ba84-4589-baad-25e1d48ecef4","GRSM_002.basePlot.cfc","D07","GRSM","GRSM_002","distributed","2016-06-06T15:45Z","njZEDkTA4mgWWU03lRxBFgfLUPZ46Kxd2ZaSaiyzcFI=","njZEDkTA4mgWWU03lRxBFgfLUPZ46KxdvqmIyLNn4Y0=","2016-08-24","vegetation",-7.8,-28.9,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"d844cc87-a60f-4142-b4da-e217565f65cc","GRSM_002.basePlot.cfc","D07","GRSM","GRSM_002","distributed","2016-06-06T15:45Z","njZEDkTA4mgWWU03lRxBFgfLUPZ46Kxd2ZaSaiyzcFI=","njZEDkTA4mgWWU03lRxBFgfLUPZ46KxdvqmIyLNn4Y0=","2016-08-24","vegetation",-7.8,-28.9,"0",,2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"b44a0fce-7d2c-4d99-97a7-4a00c7c4406e","GRSM_002.basePlot.cfc","D07","GRSM","GRSM_002","distributed","2016-06-06T16:20Z","njZEDkTA4mhMd38hmJ6sFsk82htc7y964/KMIjLZiyo=","njZEDkTA4mhMd38hmJ6sFsk82htc7y96vE0zyDoPDec=","2016-08-24","vegetation",-1.9,-30.1,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"754ba168-bb8b-4218-9151-5b8f4160bfda","GRSM_002.basePlot.cfc","D07","GRSM","GRSM_002","distributed","2016-06-06T16:41Z","njZEDkTA4mhKOtXkRIPFhBzxgTIuGg/UEsL+4Cxpym4=","njZEDkTA4mhKOtXkRIPFhBzxgTIuGg/Ut5I6nB0aWCc=","2016-08-24","vegetation",-4.1,-29.3,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"d98ebadf-1257-4a97-beb8-af678447bd89","GRSM_010.basePlot.cfc","D07","GRSM","GRSM_010","distributed","2016-06-06T18:20Z","njZEDkTA4misW8k1uxtRp3WXJNHhA4qA7q9yG8Vst2k=","njZEDkTA4misW8k1uxtRp3WXJNHhA4qAfv4adJ1zXT8=","2016-08-24","vegetation",-2.7,-28.8,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"b7fbbf54-53dd-4acd-a137-da178345e5f6","GRSM_010.basePlot.cfc","D07","GRSM","GRSM_010","distributed","2016-06-06T19:26Z","njZEDkTA4misW8k1uxtRpy9/eUO9pznT5fFy9saRSxU=","njZEDkTA4misW8k1uxtRpy9/eUO9pznTpuVLoKzCGhk=","2016-08-24","vegetation",-3.1,-29.5,"0",,2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"c76ac037-b303-48d8-9f18-d91c6ee5d0cb","GRSM_010.basePlot.cfc","D07","GRSM","GRSM_010","distributed","2016-06-06T19:26Z","njZEDkTA4misW8k1uxtRpy9/eUO9pznT5fFy9saRSxU=","njZEDkTA4misW8k1uxtRpy9/eUO9pznTpuVLoKzCGhk=","2016-08-24","vegetation",-3.0,-29.6,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
